id,family_id,surveydate,participant_age,parent_age,parent_latinx,parent_latinx_txt,parent_race,parent_race_txt,parent_racedescribe,parent_sexassigned,parent_female,parent_gender_txt,parent_education,parent_education_txt,employment_status,employment_status_txt,employment_explain,parent_pob_us,parent_pob_other,nativelang_english,nativelang_txt,nativelang_other,primarylang_english,primarylang_txt,primarylang_other,secondlang,secondlang_type,seriousrelationship,bparentrelationship,nonromantic_caregiver,other_caregiver,other_caregiver_txt,marital_status,marital_status_txt,partner_age,partner_educ,partner_educ_txt,partner_educ_describe,partner_employ,partner_employ_txt,partner_employ_describe,partner_pob_us,partner_pob_other,annual_income,annual_income_txt,in_home_partner,in_home_child,in_home_parent_mom,in_home_parent_dad,in_home_spouse_parent,in_home_friend,in_home_otherfam,live_alone,in_home_other,ppl_in_home_describe,child_age_months,child_female,child_latinx,child_latinx_txt,child_race,child_race_txt,child_race_describe,child_pob_us,child_pob_other,current_num_children,firstchi_age_months,firstchi_female,secondchi_age_months,secondchi_female,thirdchi_age_months,thirdchi_female,fourthchi_age_months,fourthchi_female,fifthchi_age_months,fifthchi_female,mp_1_v2,mp_2_v2,mp_3_v2,mp_4_v2,mp_5_v2,mp_6_v2,mp_7_v2,mp_8_v2,mp_9_v2,mp_10_v2,mp_11_v2,mp_12_v2,mp_13_v2,mp_14_v2,mp_15_v2,mp_16_v2,mp_17_v2,mp_18_v2,mp_19_v2,mp_20_v2,anything_toknow,mp_complete,mp_total,mp_negaff,mp_cogcon,mp_bodsen,mp_soccon,cogstim_1,cogstim_2,cogstim_3,cogstim_4,cogstim_5,cogstim_6,cogstim_7,cogstim_8,cogstim_9,cogstim_10,cogstim_11,cogstim_12,cogstim_13,cogstim_14,cogstim_15,cogstim_16,cogstim_17,cogstim_20,cogstim_21,cogstim_22,cogstim_23,cogstim_24,cogstim_26,paryc_1,paryc_2,paryc_3,paryc_4,paryc_5,paryc_6,paryc_7,paryc_8,paryc_9,paryc_10,paryc_11,paryc_12,paryc_13,paryc_14,paryc_15,paryc_16,crpr_warmth_1,crpr_warmth_2,ps_1,ps_2,ps_3,ps_4,ps_5,ps_6,ps_12,ps_7,ps_8,ps_9,ps_10,ps_11,ps_13,cogstim_total,paryc_setlim,paryc_suppos,paryc_proact,crpr_warmth,ps_consistency,ps_overreactivity,ps_hosility,pospar_total,prfq_1a,prfq_1b,prfq_1c,prfq_1d,prfq_1e,prfq_1f,prfq_complete,prfq_total
67,1,2020-11-04T15:34:50Z,38,38,0,Not Hispanic or Latinx,5,White,,Female,1,Woman,8,Graduate degree,1,Employed full time,,1,,1,English,,1,English,,0,,1,1,NA,NA,NA,2,Married/domestic partnership,NA,7,Bachelor's degree,,1,Employed full time,,1,,6,"90,001-150,000",1,1,0,0,0,0,0,0,0,,39.827393219832736,1,0,Not Hispanic or Latinx,5,White,,1,,1,39.827393219832736,1,NA,NA,NA,NA,NA,NA,NA,NA,61,60,75,70,65,85,90,75,65,100,100,100,60,70,80,90,85,85,70,100,,2,79.3,76.2,66,88,87,6,6,5,2,6,6,6,6,6,4,2,0,2,6,3,5,2,6,5,4,5,6,3,5,6,6,4,5,4,5,4,5,5,4,5,5,5,5,6,6,6,84,71,77,25,26,66,66,90,90,9,0,9,21,4.434782608695652,5,4.857142857142857,5,6,55.6,67.6,6,4.763975155279503,5,4,4,4,4,6,2,4.5
68,2,2020-11-05T12:49:38Z,41,41,0,Not Hispanic or Latinx,5,White,,Female,1,Woman,8,Graduate degree,6,Homemaker,,1,,1,English,,1,English,,0,,1,1,NA,NA,NA,2,Married/domestic partnership,NA,8,Graduate degree,,1,Employed full time,,1,,4,"30,001-60,000",1,1,0,0,0,0,0,0,0,,69.436595728793307,1,0,Not Hispanic or Latinx,5,White,,1,,2,97.08448225308642,0,69.436595728793307,1,NA,NA,NA,NA,NA,NA,99,75,97,100,100,97,100,74,74,100,100,100,65,100,100,100,100,100,50,100,No,2,91.55,99.8,67.6,100,98.8,6,6,6,2,6,4,5,6,6,5,3,2,5,6,5,4,1,5,4,3,6,6,1,4,4,5,3,4,4,2,5,5,5,5,4,3,3,5,5,6,6,79,66,69,23,38,53,72,85,88,3,3,3,50,4.478260869565218,3.7142857142857144,4.428571428571429,4.5,6,57.4,67.2,3,4.207039337474121,6,6,6,6,6,6,2,6
69,3,2020-11-10T20:54:44Z,37,37,0,Not Hispanic or Latinx,5,White,,Female,1,Woman,7,Bachelor's degree,6,Homemaker,,1,,1,English,,1,English,,0,,1,1,NA,NA,NA,2,Married/domestic partnership,NA,8,Graduate degree,,1,Employed full time,,1,,7,"$150,000-250,000",1,1,0,0,0,0,0,0,0,,62.89907556750299,1,0,Not Hispanic or Latinx,5,White,,1,,2,85.51197879330944,0,62.89907556750299,1,NA,NA,NA,NA,NA,NA,74,57,87,64,57,96,80,79,49,77,99,95,74,73,94,72,72,70,82,95,,2,77.3,68.4,68.2,88.2,84.4,5,4,6,0,6,0,5,5,6,5,3,2,0,6,2,5,1,6,2,4,6,6,0,4,5,5,4,5,5,5,4,5,5,5,5,5,5,5,6,6,6,68,50,60,32,46,69,83,96,84,98,96,10,34,3.6956521739130435,4.714285714285714,5,5,6,48.8,75.6,68,4.469979296066253,6,5,5,6,6,6,2,5.666666666666667
70,4,2020-11-05T13:21:31Z,40,40,0,Not Hispanic or Latinx,5,White,,Male,1,Woman,7,Bachelor's degree,1,Employed full time,,1,,1,English,,1,English,,0,,1,1,NA,NA,NA,2,Married/domestic partnership,NA,4,"Some college credit, no degree",,1,Employed full time,,1,,6,"90,001-150,000",1,1,0,0,0,0,0,0,0,,62.469568025686975,1,0,Not Hispanic or Latinx,5,White,,1,,2,90.88892286439665,1,62.469568025686975,1,NA,NA,NA,NA,NA,NA,75,38,91,95,96,93,50,70,30,73,87,97,35,95,83,96,92,77,34,90,,2,74.85,83.2,41.4,82.4,92.4,4,5,6,1,4,5,5,6,6,4,4,0,3,6,4,5,1,6,4,4,5,3,1,2,4,5,3,5,3,3,5,4,5,6,4,3,3,3,6,6,6,70,78,75,25,32,68,64,78,84,16,7,2,30,4,3.5714285714285716,4.571428571428571,3.5,6,55.6,65.2,8.333333333333334,4.0476190476190474,5,5,5,4,3,6,2,4.666666666666667
71,5,2020-11-06T22:47:05Z,39,39,0,Not Hispanic or Latinx,5,White,,Female,1,Woman,7,Bachelor's degree,6,Homemaker,,1,,1,English,,1,English,,0,,1,1,NA,NA,NA,2,Married/domestic partnership,NA,8,Graduate degree,,1,Employed full time,,1,,6,"90,001-150,000",1,1,0,0,0,0,0,0,0,,71.51449559438471,1,0,Not Hispanic or Latinx,5,White,,1,,3,111.2886891427718,1,71.51449559438471,1,17.320947207287933,1,NA,NA,NA,NA,72,64,100,100,100,100,100,78,60,100,100,100,75,100,100,100,100,100,62,100,no,2,90.55,94.4,67.8,100,100,5,5,6,1,6,1,1,4,6,4,2,1,2,6,3,5,2,4,1,1,6,6,5,5,4,4,3,5,5,4,6,3,5,3,4,3,4,5,4,6,6,60,64,80,21,44,41,64,50,81,7,12,17,13,3.608695652173913,4.285714285714286,4,4.5,6,47.6,56,12,3.9648033126293996,6,6,6,5,5,6,2,5.666666666666667
72,6,2020-11-10T22:52:45Z,35,35,0,Not Hispanic or Latinx,5,White,,Female,1,Woman,7,Bachelor's degree,6,Homemaker,,1,,1,English,,1,English,,0,,1,1,NA,NA,NA,2,Married/domestic partnership,NA,6,Associate degree,,1,Employed full time,,1,,6,"90,001-150,000",1,1,0,0,0,0,0,0,0,,62.93397737455197,1,0,Not Hispanic or Latinx,5,White,,1,,3,84.61139672939068,0,62.93397737455197,1,26.61139672939068,1,NA,NA,NA,NA,100,100,100,100,100,100,100,75,100,100,100,100,75,100,100,100,100,100,60,100,,2,95.5,100,82,100,100,6,6,6,0,6,6,6,5,6,4,3,0,3,6,5,5,1,1,5,1,6,5,5,6,5,6,3,6,6,6,4,6,6,6,6,4,6,6,6,6,6,73,83,100,16,43,70,65,100,84,0,0,0,15,4.217391304347826,5.428571428571429,5.428571428571429,6,6,57.4,72.4,0,5.024844720496895,6,6,6,5,6,6,2,5.833333333333333
73,4,2020-11-05T22:37:44Z,47,47,0,Not Hispanic or Latinx,5,White,,Male,0,Man,4,"Some college credit, no degree",1,Employed full time,,1,,1,English,,1,English,,0,,1,1,NA,NA,NA,2,Married/domestic partnership,NA,7,Bachelor's degree,,1,Employed full time,,1,,7,"$150,000-250,000",1,1,0,0,0,0,0,0,0,,62.48202807646356,1,0,Not Hispanic or Latinx,5,White,,1,,2,90.90138291517324,1,62.48202807646356,1,NA,NA,NA,NA,NA,NA,64,42,90,100,68,100,26,65,58,100,100,100,35,43,45,90,76,100,32,100,"Even tempered, good kid, looks at the world a little differently than other kids but seems within norms",2,71.7,86.4,46.4,62.8,91.2,5,6,6,4,5,4,6,4,6,5,4,1,3,6,5,5,1,5,3,4,4,5,4,5,6,4,3,6,6,4,6,4,5,6,3,2,6,6,6,4,6,68,78,79,24,89,50,76,90,94,8,0,0,20,4.391304347826087,4.857142857142857,5,4.5,5,53.8,79.8,2.6666666666666665,4.749482401656315,5,4,4,6,6,5,2,5
74,7,2020-11-07T09:27:59Z,38,38,0,Not Hispanic or Latinx,5,White,,Female,1,Woman,8,Graduate degree,6,Homemaker,,1,,1,English,,1,English,,0,,1,1,NA,NA,NA,2,Married/domestic partnership,NA,7,Bachelor's degree,,3,Self-employed,,1,,6,"90,001-150,000",1,1,0,0,0,0,0,0,0,,69.24648109567902,0,0,Not Hispanic or Latinx,5,White,,1,,4,98.30304622162485,0,69.24648109567902,0,33.6901429958184,0,24.046481095679013,0,NA,NA,98,100,100,100,100,98,100,100,70,100,100,100,90,100,100,92,100,97,85,100,No,2,96.5,99,89,100,98,6,6,6,5,6,5,6,5,6,5,2,2,5,6,5,6,0,5,5,6,6,5,5,6,5,6,6,5,4,6,6,4,6,4,6,6,6,0,6,6,6,57,78,67,2,25,20,70,96,84,0,0,4,33,4.956521739130435,5.428571428571429,5.428571428571429,3,6,47.4,59,1.3333333333333333,5.271221532091097,5,5,5,5,5,6,2,5.166666666666667
78,9,2020-11-13T10:14:13Z,36,36,0,Not Hispanic or Latinx,5,White,,Male,0,Man,6,Associate degree,1,Employed full time,,1,,1,English,,1,English,,0,,1,1,NA,NA,NA,2,Married/domestic partnership,NA,7,Bachelor's degree,,1,Employed full time,,1,,6,"90,001-150,000",1,1,0,0,0,0,0,0,0,,63.755694817801675,1,0,Not Hispanic or Latinx,5,White,,1,,1,63.755694817801675,1,NA,NA,NA,NA,NA,NA,NA,NA,47,79,100,50,34,100,89,100,76,82,100,100,100,73,100,77,100,72,50,100,,2,81.45,57,81,92.4,95.4,5,6,6,3,6,5,5,6,6,4,4,2,3,6,6,6,1,5,5,6,5,4,1,4,5,6,6,6,4,6,6,6,6,6,6,6,4,6,6,5,1,64,79,85,12,100,63,100,100,100,100,0,0,13,4.608695652173913,5.285714285714286,5.714285714285714,6,3,50.6,92.6,33.333333333333336,5.202898550724638,6,4,6,6,6,6,2,5.666666666666667
80,10,2020-11-18T09:39:04Z,38,38,0,Not Hispanic or Latinx,2,Asian,,Female,1,Woman,8,Graduate degree,1,Employed full time,,1,,1,English,,1,English,,0,,1,1,NA,NA,NA,2,Married/domestic partnership,NA,7,Bachelor's degree,,1,Employed full time,,1,,7,"$150,000-250,000",1,1,0,0,0,0,0,0,0,,66.72264934289127,1,0,Not Hispanic or Latinx,6,Other,Biracial-Asian and white,1,,2,66.72264934289127,1,19.246737654320988,0,NA,NA,NA,NA,NA,NA,50,80,100,80,100,100,100,80,60,100,100,100,50,100,100,100,100,100,40,100,,2,87,86,62,100,100,4,4,6,1,6,1,4,4,6,5,3,4,5,6,5,6,2,5,3,5,5,6,4,5,3,5,4,4,5,5,4,3,4,5,5,3,4,4,5,6,6,100,82,87,1,25,23,54,100,84,11,0,0,14,4.3478260869565215,4.428571428571429,4,4.5,6,56.8,57.2,3.6666666666666665,4.25879917184265,6,5,4,5,5,5,2,5
